returnMean,returnSD,Positions,ShortsOK
0.1354643628905908,0.17940715189776454,2,Long Positions Only
0.14100988012916382,0.2057291267570041,2,Long Positions Only
0.11434256204297491,0.13224079704623307,2,Long Positions Only
0.14184388437472803,0.1929490268399957,2,Long Positions Only
0.1338663502300573,0.1857318167366578,2,Long Positions Only
0.09378237023011587,0.11616475653641362,2,Long Positions Only
0.17575879829913027,0.26940724284213596,2,Long Positions Only
0.16812151522362434,0.24736693672162852,2,Long Positions Only
0.11712574657032482,0.15198355671013805,2,Long Positions Only
0.14216336563621843,0.21266270586394867,2,Long Positions Only
0.12259443226085681,0.15108214714067617,2,Long Positions Only
0.15831379929529146,0.23509595754913684,2,Long Positions Only
0.11928805972061979,0.17009658711227124,2,Long Positions Only
0.11828917786225661,0.160652786465959,2,Long Positions Only
0.12866310945524292,0.16065923429116036,2,Long Positions Only
0.1399895306944394,0.19432718669205976,2,Long Positions Only
0.1373752944663419,0.18869084199826333,2,Long Positions Only
0.12812396190072162,0.1780239565477748,2,Long Positions Only
0.1590430958320776,0.22358281733958973,2,Long Positions Only
0.139050478449835,0.18834535513744682,2,Long Positions Only
0.13371030680629492,0.19205302943015568,2,Long Positions Only
0.10202012736035308,0.11459801004096835,2,Long Positions Only
0.11678069032687378,0.1648046790162607,2,Long Positions Only
0.14748194574152315,0.19941849472359963,2,Long Positions Only
0.11666339783767095,0.13505550564464772,2,Long Positions Only
0.1168160074291308,0.1771071912291123,2,Long Positions Only
0.14141909667530309,0.19813731099082318,2,Long Positions Only
0.1567119291831657,0.2232931647321834,2,Long Positions Only
0.16893593057382106,0.25094253179961823,2,Long Positions Only
0.1381279682298298,0.18242150252873848,2,Long Positions Only
0.1414688784380142,0.2009710657584666,2,Long Positions Only
0.17561309128098493,0.265446594317231,2,Long Positions Only
0.17734752299278325,0.27038641042572675,2,Long Positions Only
0.13823800171566952,0.17764424884328828,2,Long Positions Only
0.12126290905893901,0.1618947849142662,2,Long Positions Only
0.11929159742191184,0.13813189193265135,2,Long Positions Only
0.13283630424637652,0.17510665323812052,2,Long Positions Only
0.14881422384609444,0.2219263209936948,2,Long Positions Only
0.13686528090161187,0.18781754673044895,2,Long Positions Only
0.1352526986008674,0.18779878264226144,2,Long Positions Only
0.16582224591788006,0.25448111818807545,2,Long Positions Only
0.16536379469199233,0.23869935660029,2,Long Positions Only
0.14555616607670327,0.21288785048449888,2,Long Positions Only
0.1465005992977122,0.2123811386784435,2,Long Positions Only
0.13324506604930203,0.1767615066719905,2,Long Positions Only
0.14741564128989676,0.20260128786470064,2,Long Positions Only
0.1315509366544387,0.1968450421374179,2,Long Positions Only
0.16210348869100596,0.2504705118449198,2,Long Positions Only
